Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Längweiherstr. 16,6014,Luzern,3.5,75,1560
Ruopigenstrasse 8,6015,Luzern,1,27,755
Ruopigenstrasse 8,6015,Luzern,1,27,755
Matthofring 24,6005,Luzern,4,82,1600
Voltastrasse 24,6005,Luzern,3.5,80,2040
Obermättlistrasse 13,6015,Luzern,3.5,,1250
Moosstrasse,6003,Luzern,2.5,,1350
Hirtenhofring 20,6005,Luzern,2.5,61,1315
Seefeldstrasse 16,6006,Luzern,3.5,95,2310
Bundesplatz 4a,6003,Luzern,2,47,1250
Grabenstrasse 11,6004,Luzern,2.5,53,1590
Bruchstrasse 9,6003,Luzern,2.5,42,1430
Seefeldstrasse 12,6006,Luzern,3.5,96,2380
Udelbodenstrasse 1,6014,Luzern,3.5,76,1620
Baselstrasse 97,6003,Luzern,3,,1800
Landschaustrasse 19,6006,Luzern,4.5,86,1800
An der Kleinen Emme 2,6014,Luzern,3.5,,1800
Grüneggstrasse 10,6005,Luzern,3.5,72,1725
Mariahilfgasse 7,6004,Luzern,2.5,76,1880
Eichmattstrasse 3,6005,Luzern,3.5,81,1995
Längweiherstr. 10,6014,Luzern,2.5,56,1390
Grabenstrasse 13,6004,Luzern,1.5,106,2100
,6003,Luzern,1,24,750
Hirtenhofring 19,6005,Luzern,2.5,,1735
Sagenmattrain 3,6003,Luzern,2.5,40,1320
,6004,Luzern,4,100,1950
Gibraltarstrasse 30,6003,Luzern,3.5,85,2060
Bergstrasse 1,6004,Luzern,3.5,89,2190
Grünauring 19,6014,Luzern,3.5,87,1890
Hertensteinstrasse 32,6004,Luzern,2,56,1560
Uferweg 6,6014,Luzern,2.5,,1100
Längweiherstr. 20,6014,Luzern,3.5,75,1540
Claridenstrasse 9,6003,Luzern,3.5,75,2550
Seefeldstrasse 6,6006,Luzern,3.5,87,2570
Ennetweg 4,6015,Luzern,2,37,1290
Baselstrasse 22,6003,Luzern,2,67,1410
Spannortstrasse 14,6003,Luzern,4.5,104,1950
Baselstrasse 27,6003,Luzern,3,60,1350
Ruopigenstrasse 8,6015,Luzern,1.5,46,1075
Schlösslihalde 31A,6006,Luzern,2.5,66,1790
Maihofstr. 68A,6006,Luzern,3.5,81,1670
Bundesplatz 4,6003,Luzern,3,90,1880
Seehof 7,6004,Luzern,1.5,32,1455
Würzenbachhalde 7,6006,Luzern,3.5,79,1710
Bernstrasse 57 b,6003,Luzern,3,58,1510
Sagenmattstrasse 20a,6003,Luzern,3,59,1450
Gibraltarstrasse 13,6003,Luzern,1,,1100
Blattenmoosstrasse 2,6014,Luzern,3,50,1540
Blattenmoosstrasse 2,6014,Luzern,1,,700
Neustadtstr. 8c,6003,Luzern,3.5,71,1710
Sagenmattstrasse 20,6003,Luzern,3.5,106,1780
Seefeldstrasse 3,6006,Luzern,4.5,140,2645
Liebenauweg 6,6006,Luzern,3.5,81,2000
Dammstrasse 17,6003,Luzern,1,,1100
Dammstrasse 17,6003,Luzern,2,,1250
Sagenmattstrasse 26,6003,Luzern,4.5,80,1470
Dammstrasse 17,6003,Luzern,3,80,1500
Baselstrasse 63,6003,Luzern,4,70,1400
Bernstrasse 57 a,6003,Luzern,4.5,84,1620
Seehof 7,6004,Luzern,1.5,31,1435
Sagenmattrain 3,6003,Luzern,4,,1570
Bernstrasse 9,6003,Luzern,2.5,40,1530
Bernstrasse 3,6003,Luzern,2.5,42,1660
Sagenmattrain 3,6003,Luzern,4,64,1590
Längweiherstr. 22,6014,Luzern,3.5,75,1580
Bernstrasse 61,6003,Luzern,3,85,1520
Brandgässli 9,6004,Luzern,3.5,60,6490
Brandgässli 9,6004,Luzern,3.5,75,5490
Brandgässli 9,6004,Luzern,3.5,75,5690
Brandgässli 9,6004,Luzern,3.5,73,5490
Brandgässli 9,6004,Luzern,2,47,5490
Brandgässli 9,6004,Luzern,1.5,43,5090
Brandgässli 9,6004,Luzern,2,38,5190
Brandgässli 9,6004,Luzern,1,22,4490
Brandgässli 9,6004,Luzern,1.5,36,4990
Brandgässli 9,6004,Luzern,1,19,4890
Tribschenstrasse 24,6003,Luzern,1,15,1090
Zihlmattweg 44,6005,Luzern,2.5,43,1690
Zihlmatweg 44,6005,Luzern,1.5,31,1290
Zihlmattweg 44,6005,Luzern,1,25,1150
Neustadtstrasse 16,6003,Luzern,,19,1753
Neustadtstrasse 16,6003,Luzern,,13,1546
Neustadtstrasse 16,6003,Luzern,,12,1235
