Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Birmensdorferstrasse 406,8055,Zürich,2,,2190
Kügeliloostrasse 39,8046,Zürich,2,,1200
Oetenbachgasse 26,8001,Zürich,2.5,56,3450
Schaffhauserstrasse 475,8052,Zürich,2,54,1904
Uetlibergstrasse 77,8045,Zürich,2,39,2390
Felsenrainstrasse 29,8052,Zürich,2,42,1610
Jungholzstrasse 20,8050,Zürich,1.5,43,1740
Rautihalde  10,8048,Zürich,3.5,83,2810
Rautihalde  10,8048,Zürich,3.5,66,2480
Rautihalde  10,8048,Zürich,3.5,83,2790
Rautihalde 10,8048,Zürich,2,47,1870
Steinengraben 79,4051,Basel,6,144,2620
Metzerstrasse 32,4056,Basel,3,89,2165
Rixheimerstr. 1,4055,Basel,2,52,1340
Gellertstrasse 97,4052,Basel,3.5,134,3360
Bäumlihofstrasse 92,4058,Basel,2,54,1495
Steinengraben 77,4051,Basel,2,63,1750
Davidsbodenstr. 28,4056,Basel,2,47,1165
Laufenstr. 22,4053,Basel,3,62,1740
Oberwilerstrasse 153,4054,Basel,2.5,,1180
Feldbergstrasse 23,4057,Basel,1.5,,1140
Riehentorstr. 33,4058,Basel,2,62,1290
Spalenberg 10,4051,Basel,3.5,135,3500
Heuberg 14,4051,Basel,3,82,1950
Clarahofweg 47,4058,Basel,3.5,109,2890
Clarahofweg 47,4058,Basel,3.5,90,2490
Sarnerstrasse 2,4055,Basel,2,,1265
Klingelbergstrasse,4056,Basel,2.5,80,1450
Güterstr. 177,4053,Basel,1,34,995
Hardstrasse 111,4052,Basel,2,49,1090
Ziegelstr. 10,4055,Basel,,23,650
Spalenvorstadt 37,4051,Basel,2,50,1230
Bruderholzstr. 40,4053,Basel,3,,1580
Jungstr. 23,4056,Basel,3,79,1880
Fasanenstr. 140,4058,Basel,1,32,880
Missionsstr. 3,4055,Basel,5.5,165,4400
Sevogelstrasse 140 -142,4052,Basel,1.5,37,1130
Voltastrasse 123,4056,Basel,2.5,63,1900
Voltastrasse 123,4056,Basel,2.5,63,1910
Hasenmattstrasse 3,4059,Basel,3.5,140,2470
Leonhardsgraben 8,4051,Basel,1.5,40,1315
Utengasse 35,4058,Basel,3,73,1430
Muespacherstrasse 48,4055,Basel,1,26,730
Mülhauserstrasse 123,4056,Basel,5.5,129,2800
Oberwilerstrasse 159,4054,Basel,3,91,1889
Erlenmattstr. 75,4058,Basel,3.5,81,2100
St. Johanns-Ring 141,4056,Basel,3,65,1380
Schweizergasse 13a,4054,Basel,2,47,1365
Sevogelstrasse 142,4052,Basel,4,92,2240
Zürcherstrasse 111,4052,Basel,3.5,75,1690
Riehenstrasse 165,4058,Basel,2,52,1240
Pilgerstrasse,4055,Basel,2.5,65,1340
Lehenmattstr. 201,4052,Basel,3,61,1460
Zürcherstr. 27,4052,Basel,3,61,1230
Lehenmattstr. 322,4052,Basel,4,78,1650
allmendstrasse,4058,Basel,4.5,101,3940
Sevogelstrasse 142,4052,Basel,1.5,37,1110
Hebelstr. 82,4056,Basel,2.5,52,1500
Andlauerstrasse 10,4057,Basel,3,70,1520
Lehenmattstr. 55,4052,Basel,2,47,1215
,4055,Basel,4,,2100
Claragraben 138,4057,Basel,3,73,1720
St. Jakobsstrasse 187,4052,Basel,3.5,71,1885
St. Jakobsstrasse 193,4052,Basel,3.5,75,2035
,4051,Basel,1,37,1260
Jurastrasse 10,4053,Basel,4.5,120,2500
Beinwilerstrasse 14,4053,Basel,3,57,1270
Markircherstrasse 52,4055,Basel,4,76,1780
Lehenmattstr. 201,4052,Basel,2,47,1240
Spalenring 95,4055,Basel,3.5,80,1660
Oberalpstrasse 113,4054,Basel,4,85,1740
Delsbergerallee 7,4053,Basel,2.5,66,1375
Friedensgasse 24,4056,Basel,3,77,1930
Sierenzerstrasse 9,4055,Basel,4.5,118,2060
Altrheinweg 44,4057,Basel,2.5,48,1450
St. Alban-Ring 152,4052,Basel,4,110,2230
Wettsteinallee 96,4058,Basel,2,,1230
gundeldingerstrasse 105,4053,Basel,3,65,1590
,4058,Basel,3.5,115,2980
,4054,Basel,3,70,1550
,4056,Basel,1.5,35,1150
Beim Goldenen Löwen 9,4052,Basel,3,76,1790
Farnsburgerstrasse 37,4052,Basel,3,60,1500
Maulbeerstrasse 14,4058,Basel,3,75,1815
