Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/seftigenstrasse-21-3007-bern/597393/,Seftigenstrasse 21,3007,Bern,1670,3,75 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/3006-bern/597331/,no street available,3006,Bern,1630,3 ½,78 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/schenkstrasse-13-3008-bern/597237/,Schenkstrasse 13,3008,Bern,1660,2 ½,58 m²
4 ½ Zimmer-Maisonette in Bern mieten,/de/wohnung/thunstrasse-31-3005-bern/597179/,Thunstrasse 31,3005,Bern,2750,4 ½,120 m²
4 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/nesslerenweg-112-3084-wabern/596853/,Nesslerenweg 112,3084,Wabern,2240,4 ½,97 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/mittelstrasse-4042-3012-bern/576021/,Mittelstrasse 40/42,3012,Bern,2400,3 ½,77 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/sonnenhofweg-25-3006-bern/597169/,Sonnenhofweg 25,3006,Bern,1470,2 ½,55 m²
4 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/nesslerenweg-48-3084-wabern/596871/,Nesslerenweg 48,3084,Wabern,2000,4 ½,94 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/ostring-25-3006-bern/596910/,Ostring 25,3006,Bern,870,1,34 m²
2 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/wiesenstrasse-40-3072-ostermundigen/597003/,Wiesenstrasse 40,3072,Ostermundigen,1530,2 ½,NaN
5 ½ Zimmer-Wohnung in Muri b. Bern mieten,/de/wohnung/eggholzliweg-6-b-3074-muri-b-bern/594664/,Egghölzliweg 6 B,3074,Muri,2620,5 ½,124 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/elisabethenstrasse-10-3014-bern/596922/,Elisabethenstrasse 10,3014,Bern,2250,2 ½,NaN
5 Zimmer-Wohnung in Wabern mieten,/de/wohnung/kirchstrasse-144-3084-wabern/589515/,Kirchstrasse 144,3084,Wabern,2200,5,108 m²
4 Zimmer-Wohnung in Köniz mieten,/de/wohnung/dorfbachstrasse-64-3098-koniz/593707/,Dorfbachstrasse 64,3098,Köniz,1630,4,76 m²
3 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/nesslerenweg-116-3084-wabern/596162/,Nesslerenweg 116,3084,Wabern,2000,3 ½,84 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/ostring-62-3006-bern/596568/,Ostring 62,3006,Bern,1881,3 ½,NaN
4 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/nesslerenweg-82-3084-wabern/595879/,Nesslerenweg 82,3084,Wabern,2030,4 ½,92 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/holligenstrasse-109-3008-bern/595257/,Holligenstrasse 109,3008,Bern,1560,3,73 m²
4 Zimmer-Wohnung in Bern mieten,/de/wohnung/sandrainstrasse-97-3007-bern/595280/,Sandrainstrasse 97,3007,Bern,2752,4,102 m²
3 Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/flurweg56-3072-ostermundigen/596235/,Flurweg56,3072,Ostermundigen,1380,3,NaN
5 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/bolligenstr28b-3006-bern/596181/,Bolligenstr.28b,3006,Bern,2850,5 ½,148 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/wankdorffeldstrasse-101-3014-bern/594589/,Wankdorffeldstrasse 101,3014,Bern,830,1,19 m²
3 ½ Zimmer-Wohnung in Gümligen mieten,/de/wohnung/beethovenstrasse-46-3073-gumligen/595637/,Beethovenstrasse 46,3073,Gümligen,1775,3 ½,73 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/romerweg-1-3013-bern/591303/,Römerweg 1,3013,Bern,760,1,NaN
4 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/seftigenstrasse-336-3084-wabern/594617/,Seftigenstrasse 336,3084,Wabern,1740,4 ½,93 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/pulverweg-40-3006-bern/595316/,Pulverweg 40,3006,Bern,770,1 ½,NaN
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/pulverweg-42-3006-bern/595236/,Pulverweg 42,3006,Bern,594,1,NaN
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/rosenweg-17-3007-bern/575318/,Rosenweg 17,3007,Bern,2070,3,70 m²
3 ½ Zimmer-Wohnung in Liebefeld mieten,/de/wohnung/wabersackerstrasse-23-3097-liebefeld/595170/,Wabersackerstrasse  23,3097,Liebefeld,1760,3 ½,75 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/fischermattelistrasse-13-3008-bern/594911/,Fischermättelistrasse 13,3008,Bern,1755,3 ½,70 m²
2 Zimmer-Wohnung in Liebefeld mieten,/de/wohnung/konizstrasse-190-3097-liebefeld/586009/,Könizstrasse 190,3097,Liebefeld,1005,2,47 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/parkstrasse-11-a-3014-bern/593789/,Parkstrasse 11 A,3014,Bern,840,1,22 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/blockweg-8-3007-bern/594104/,Blockweg 8,3007,Bern,1450,2,53 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/stockackerstrasse-110-3018-bern/590958/,Stöckackerstrasse 110,3018,Bern,1556,3 ½,65 m²
1 Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/blankweg-24-3072-ostermundigen/590957/,Blankweg 24,3072,Ostermundigen,950,1,27 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/3007-bern/593887/,no street available,3007,Bern,1880,3 ½,NaN
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/morgartenstrasse-15-3014-bern/593774/,Morgartenstrasse 15,3014,Bern,2750,4 ½,95 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/morgartenstrasse-15-3014-bern/593773/,Morgartenstrasse 15,3014,Bern,1550,2 ½,42 m²
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/morgartenstrasse-15-3014-bern/593771/,Morgartenstrasse 15,3014,Bern,2950,4 ½,85 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/klaraweg-39-3006-bern/593756/,Klaraweg 39,3006,Bern,1450,3,NaN
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/lerchenweg-37-3012-bern/593749/,Lerchenweg 37,3012,Bern,1680,2 ½,67 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/bonstettenstrasse-10-3012-bern/593586/,Bonstettenstrasse 10,3012,Bern,1440,2,55 m²
2 Zimmer-Wohnung in bern mieten,/de/wohnung/3006-bern/593573/,no street available,3006,bern,500,2,NaN
4 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/dorfbachstrasse-58-3098-koniz/593466/,Dorfbachstrasse 58,3098,Köniz,1000,4 ½,90 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/egelgasse-66-3006-bern/593386/,Egelgasse 66,3006,Bern,1350,3,NaN
4 ½ Zimmer-Attikawohnung in Bern mieten,/de/wohnung/hostettlerweg-2-3006-bern/578615/,Hostettlerweg 2,3006,Bern,5170,4 ½,129 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/parkstrasse-9-3014-bern/580614/,Parkstrasse 9,3014,Bern,880,1,21 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/moserstrasse-48-3014-bern/593252/,Moserstrasse 48,3014,Bern,2262,1 ½,100 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/giacomettistrasse-31a-3006-bern/593244/,Giacomettistrasse 31a,3006,Bern,1725,3 ½,86 m²
4 ½ Zimmer-Wohnung in Bremgarten b. Bern mieten,/de/wohnung/landlistrasse-12-3047-bremgarten-b-bern/589514/,Ländlistrasse 12,3047,Bremgarten,1745,4 ½,80 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/eigerstr-60-3007-bern/593220/,Eigerstr. 60,3007,Bern,1745,2,55 m²
3 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/schwarzenburgstrasse-231-3098-koniz/592370/,Schwarzenburgstrasse 231,3098,Köniz,1690,3 ½,79 m²
3 ½ Zimmer-Dachwohnung in Bern mieten,/de/wohnung/dammweg-27-3013-bern/592812/,Dammweg 27,3013,Bern,1910,3 ½,70 m²
3 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/unterdorfstr-45-3072-ostermundigen/592698/,Unterdorfstr. 45,3072,Ostermundigen,1755,3 ½,85 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/cacilienstr-7a-3007-bern/592689/,Cäcilienstr. 7a,3007,Bern,1660,3 ½,88 m²
3 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/forelstr-46-3072-ostermundigen/592688/,Forelstr. 46,3072,Ostermundigen,1462,3 ½,81 m²
