Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
4 ½ Zimmer-Wohnung in Allschwil mieten,/de/wohnung/fabrikstrasse-33-4123-allschwil/580242/,Fabrikstrasse 33,4123,Allschwil,1900,4 ½,96 m²
4 ½ Zimmer-Maisonette in Basel mieten,/de/wohnung/zwingerstrasse-23a-4053-basel/592724/,Zwingerstrasse 23a,4053,Basel,2901,4 ½,146 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/schutzengraben-7-4051-basel/592687/,Schützengraben 7,4051,Basel,1590,2 ½,58 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/schorenweg-40-4058-basel/592675/,Schorenweg 40,4058,Basel,1785,3 ½,80 m²
4 ½ Zimmer-Wohnung in Oberwil BL mieten,/de/wohnung/langegasse-131-4104-oberwil-bl/544252/,Langegasse 131,4104,Oberwil,2600,4 ½,111 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/st-jakobsstrasse-193-4052-basel/588169/,St. Jakobsstrasse 193,4052,Basel,1940,3 ½,72 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/blauenstrasse-42-4054-basel/592019/,Blauenstrasse 42,4054,Basel,1525,3,75 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/weiherweg-86-4054-basel/592008/,Weiherweg 86,4054,Basel,1380,2 ½,54 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/rheinfelderstr-3-4058-basel/592006/,Rheinfelderstr. 3,4058,Basel,1900,3 ½,90 m²
1 ½ Zimmer-Wohnung in Birsfelden mieten,/de/wohnung/burenweg-37-4127-birsfelden/583547/,Burenweg 37,4127,Birsfelden,911,1 ½,40 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/in-den-klostermatten-17-4052-basel/579903/,In den Klostermatten 17,4052,Basel,1510,3,70 m²
3 Zimmer-Wohnung in Allschwil mieten,/de/wohnung/lettenweg-111-4123-allschwil/579922/,Lettenweg 111,4123,Allschwil,1595,3,73 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/rosentalstr-32-4058-basel/538209/,Rosentalstr. 32,4058,Basel,1180,2,54 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/mulhauserstr-30-4056-basel/591936/,Mülhauserstr. 30,4056,Basel,1531,3,NaN
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/ryffstr-12-4056-basel/591935/,Ryffstr. 12,4056,Basel,1625,3,67 m²
5 ½ Zimmer-Maisonette in Bottmingen mieten,/de/wohnung/weichselmattstrasse-58-4103-bottmingen/589194/,Weichselmattstrasse 58,4103,Bottmingen,3800,5 ½,147 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/eulerstr-64-4051-basel/591707/,Eulerstr. 64,4051,Basel,1770,2 ½,65 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/bernoullistr-24-4056-basel/552115/,Bernoullistr. 24,4056,Basel,2375,4,111 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/eisenbahnweg-10-4058-basel/583918/,Eisenbahnweg 10,4058,Basel,1640,3,70 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/4057-basel/591530/,no street available,4057,Basel,1750,2 ½,68 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/sennheimerstr-54-4054-basel/591486/,Sennheimerstr. 54,4054,Basel,1950,4 ½,89 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/sennheimerstr-52-4054-basel/591485/,Sennheimerstr. 52,4054,Basel,1930,4 ½,80 m²
