Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Laufenstrasse 41,4053,Basel,1 ½,49 m²,1340
Laufenstrasse 41,4053,Basel,1 ½,49 m²,1320
Tangentenweg 50,4058,Basel,2 ½,49 m²,1650
Im Wilacker 17,4106,Therwil,3 ½,77 m²,1480
Blauensteinerstrasse 33,4053,Basel,4 ½,108 m²,2320
Klybeckstrasse 190,4057,Basel,3 ½,71 m²,1960
Klybeckstrasse 190,4057,Basel,1 ½,28 m²,935
Zürcherstr. 160,4052,Basel,1,54 m²,1260
Hiltalingerstr. 5,4057,Basel,2,57 m²,1290
Hegenheimerstrasse 240,4055,Basel,1,,890
Dolderweg 4,4058,Basel,3 ½,74 m²,1710
Davidsrain,4057,Basel,1 ½,36 m²,1900
Markircherstrasse 56,4055,Basel,3,59 m²,1490
Malzgasse 14,4052,Basel,3 ½,81 m²,2010
Engelgasse 45,4052,Basel,5 ½,193 m²,6280
Maiengasse 12,4056,Basel,2,51 m²,1500
Allmendstrasse 10,4123,Allschwil,1,32 m²,900
,4055,Basel,3 ½,88 m²,1690
Freiburgerstrasse 9,4057,Basel,2 ½,,1600
Utengasse 39,4058,Basel,1,30 m²,890
Bettenstr. 10,4123,Allschwil,3,63 m²,1350
Bäumliackerstrasse 1,4108,Bottmingen,3 ½,,1720
Spalenring 120,4055,Basel,2,68 m²,1575
,4054,Basel,3,73 m²,1610
Gotthelfstrasse 96,4054,Basel,1,34 m²,985
Riehenstrasse 157,4058,Basel,2 ½,64 m²,1450
Kraftstrasse 16,4056,Basel,2 ½,89 m²,1660
Allmendstrasse 8,4123,Allschwil,4,90 m²,1990
Dornacherstrasse 329,4053,Basel,1,,1100
Schafmattweg 47,4102,Binningen,4 ½,83 m²,1870
Münchensteinerstr. 8,4052,Basel,3,72 m²,1805
Kanonengasse 18,4051,Basel,5 ½,121 m²,2940
Hasenrainstrasse 57,4102,Binningen,3 ½,106 m²,2600
Laufenburgerstr. 10,4058,Basel,3,75 m²,1585
Wasgenring 91,4055,Basel,4,89 m²,1720
Hiltalingerstr.5,4057,Basel,2,57 m²,1290
Neuweilerstrasse 111,4054,Basel,2,61 m²,1400
Eschenstrasse 3,4123,Allschwil,3,62 m²,1380
Lothringerstrasse 55,4056,Basel,2,44 m²,1100
Farnsburgerstrasse 6,4052,Basel,3 ½,85 m²,2250
Helvetierstr. 2,4125,Riehen,2,55 m²,1250
Reinacherstr. 70,4053,Basel,3,74 m²,1480
Münchensteinerstr. 6,4052,Basel,1 ½,55 m²,1445
Rheinparkstrasse 25,4127,Birsfelden,6 ½,164 m²,3810
Blochmonterstr. 4,4054,Basel,2 ½,80 m²,1946
Holeestr. 108,4054,Basel,3,78 m²,1735
Frobenstrasse 37,4053,Basel,1,31 m²,1070
Prattelerstrasse 1,4052,Basel,3,75 m²,1600
Bettenstrasse 94,4123,Allschwil,4,74 m²,1640
Leonhardsgraben 8,4051,Basel,2 ½,58 m²,1515
Baselmattweg 184,4123,Allschwil,3 ½,,2295
Wanderstrasse 91,4054,Basel,4 ½,140 m²,2600
Dornacherstrasse 34,4053,Basel,2,57 m²,1310
Langegasse 37,4104,Oberwil,2,56 m²,1330
Gilgenbergerstrasse 9,4053,Basel,3 ½,77 m²,1540
Holeestr. 108,4054,Basel,2,63 m²,1400
Solothurnerstrasse 62,4053,Basel,3,68 m²,1640
Saint-Louis-Strasse 23-29,4056,Basel,2 ½,72 m²,1885
Saint-Louis-Strasse 23-29,4056,Basel,1 ½,61 m²,1635
Saint-Louis-Strasse 23-29,4056,Basel,3 ½,69 m²,1815
Saint-Louis-Strasse 23-29,4056,Basel,2 ½,55 m²,1425
Saint-Louis-Strasse 23-29,4056,Basel,1 ½,46 m²,1230
Waldshuterstr. 10,4058,Basel,3,70 m²,1510
Egliseestr. 30D,4058,Basel,,243 m²,3370
Blauenstrasse 1,4127,Birsfelden,2 ½,56 m²,1490
Äussere lange Heid 14,4142,Münchenstein,2,50 m²,1030
Eggfluhstrasse 12,4054,Basel,2,70 m²,1390
Bäumlihofstrasse 92,4058,Basel,2,54 m²,1495
Gartenstr. 72,4052,Basel,6,144 m²,2700
Dornacherweg 104,4153,Reinach,5 ½,104 m²,1950
Oltingerstrasse 33,4055,Basel,1,34 m²,820
Neuweilerstrasse 107,4054,Basel,2 ½,58 m²,1210
Gundeldingerstr. 125,4053,Basel,3,121 m²,2940
Rennweg 23,4052,Basel,4,123 m²,3155
Dufourstr. 49,4052,Basel,4,148 m²,3040
Feldstrasse 112,4123,Allschwil,4 ½,89 m²,1980
Hauptstr. 87,4102,Binningen,3,86 m²,1695
Münchensteinerweg 26,4153,Reinach,4 ½,125 m²,2750
Rheinparkstrasse 13,4127,Birsfelden,2 ½,86 m²,1960
Baumgartenweg 8,4127,Birsfelden,4,76 m²,1710
Baumgartenweg 5,4127,Birsfelden,3,60 m²,1550
Blotzheimerstr. 33,4055,Basel,3 ½,73 m²,1660
Birsstr. 320,4052,Basel,2 ½,112 m²,3010
Redingstrasse,4052,Basel,3 ½,98 m²,2205
Redingstrasse,4052,Basel,2 ½,81 m²,2950
Redingstrasse,4052,Basel,4 ½,114 m²,3170
Redingstrasse,4052,Basel,3 ½,98 m²,2285
Klingental 1,4058,Basel,2,66 m²,1695
Steinbühlweg 68,4123,Allschwil,4 ½,142 m²,4310
Untere Rheingasse 12,4058,Basel,2 ½,55 m²,1500
Klybeckstrasse 190,4057,Basel,1 ½,54 m²,1653
Colmarerweg 18,4153,Reinach,4 ½,128 m²,2590
Therwilerstrasse 43,4103,Bottmingen,3 ½,84 m²,1650
Rosentalstr. 17,4058,Basel,3 ½,85 m²,2925
Bachlettenstrasse 31,4054,Basel,3,78 m²,1960
Herrengrabenweg 64,4054,Basel,2 ½,58 m²,1700
Lachenweg 16,4153,Reinach,4,98 m²,2025
Göschenenstr. 15,4054,Basel,2,57 m²,1425
