Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Matthofring 24,6005,Luzern,4,82 m²,1600
Gerliswilstrasse 41,6020,Emmenbrücke,3 ½,65 m²,1490
Arsenalstrasse 10,6010,Kriens,2,,1250
Kantonsstrasse 40,6048,Horw,5 ½,140 m²,2885
Eichwaldstrasse 35,6005,Luzern,3,95 m²,1420
Voltastrasse 24,6005,Luzern,3 ½,80 m²,2040
,6043,Adligenswil,4 ½,130 m²,850
Obermättlistrasse 13,6015,Luzern,3 ½,,1250
Gibraltarstrasse 31,6003,Luzern,3 ½,108 m²,2050
Moosstrasse,6003,Luzern,2 ½,,1350
Hirtenhofring 20,6005,Luzern,2 ½,61 m²,1315
Würzenbachstr. 38,6006,Luzern,3,64 m²,1510
Seefeldstrasse 16,6006,Luzern,3 ½,95 m²,2310
Bundesplatz 4a,6003,Luzern,2,47 m²,1250
Grabenstrasse 11,6004,Lucerne,2 ½,53 m²,1590
Bruchstrasse 9,6003,Luzern,2 ½,42 m²,1430
,6030,Ebikon,3 ½,81 m²,1550
Gemeindehausplatz 13,6048,Horw,2 ½,68 m²,1730
Schauenseestrasse 4,6010,Kriens,4,90 m²,1600
Seefeldstrasse 12,6006,Luzern,3 ½,96 m²,2380
Kolbenstrasse 13,6032,Emmen,4 ½,,1460
Udelbodenstrasse 1,6014,Luzern,3 ½,76 m²,1620
Baselstrasse 97,6003,Luzern,3,,1800
Hergiswaldstrasse 6,6012,Kriens-Obernau,4 ½,103 m²,1860
Landschaustrasse 19,6006,Luzern,4 ½,86 m²,1800
Fluhmattweg,6004,Luzern,4,150 m²,3410
An der Kleinen Emme 2,6014,Luzern,3 ½,,1800
Luzernerstrasse 82,6030,Ebikon,3 ½,72 m²,2000
Untere Halten 3,6032,Emmen,4 ½,95 m²,1690
Luzernerstrasse 82,6030,Ebikon,4 ½,97 m²,2750
Grüneggstrasse 10,6005,Luzern,3 ½,72 m²,1725
Mariahilfgasse 7,6004,Luzern,2 ½,76 m²,1880
Flecken 28,6023,Rothenburg,3,69 m²,1390
Eichmattstrasse 3,6005,Luzern,3 ½,81 m²,1995
Am Mattenhof 4a,6010,Kriens,2 ½,67 m²,1640
Schachenstrasse 4,6010,Kriens,1,23 m²,1290
Steinenstrasse 2,6048,Horw,4 ½,90 m²,2540
Längweiherstr. 10,6014,Luzern,2 ½,56 m²,1390
Meierhöflistrasse 3,6020,Emmenbrücke,1,40 m²,980
Grabenstrasse 13,6004,Luzern,1 ½,106 m²,2100
Oberhusrain 12,6010,Kriens,6 ½,158 m²,4400
Güterstr. 2b,6005,Luzern,2 ½,69 m²,1840
Würzenbachhalde 13,6006,Luzern,1,25 m²,890
,6020,Emmenbrücke,3 ½,70 m²,1565
,6003,Luzern,1,24 m²,750
Schachenweidstr. 123,6030,Ebikon,3 ½,76 m²,1445
Eiholzmatte 4,6045,Meggen,4,90 m²,2225
Hirtenhofring 19,6005,Luzern,2 ½,,1735
Sagenmattrain 3,6003,Luzern,2 ½,40 m²,1320
Reussmatt 3,6032,Emmen,4 ½,,1490
,6004,Luzern,4,100 m²,1950
Althof 2,6030,Ebikon,3,,1500
Meilipromenade 25,6032,Emmen,4 ½,105 m²,2140
Luzernerstrasse 132,6014,Littau,4,80 m²,1575
Gemeindehausplatz 13,6048,Horw,3 ½,90 m²,1960
Gibraltarstrasse 30,6003,Luzern,3 ½,85 m²,2060
Löwenplatz 9,6004,Luzern,3 ½,,1870
Schlossweg 6,6010,Kriens,4 ½,,1260
Bergstrasse 1,6004,Luzern,3 ½,89 m²,2190
,6003,Luzern,3,64 m²,1620
Grünauring 19,6014,Luzern,3 ½,87 m²,1890
Villastr. 12,6010,Kriens,2 ½,61 m²,1340
Hertensteinstrasse 32,6004,Luzern,2,56 m²,1560
Sedelstrasse 22,6020,Emmenbrücke,3 ½,65 m²,1320
Sagenmattstrasse 22,6003,Luzern,3,,1449
Uferweg 6,6014,Luzern,2 ½,,1100
Längweiherstr. 20,6014,Luzern,3 ½,75 m²,1540
Claridenstrasse 9,6003,Luzern,3 ½,75 m²,2550
Seefeldstrasse 6,6006,Luzern,3 ½,87 m²,2570
Ennetweg 4,6015,Luzern,2,37 m²,1290
Eichenspesstr. 12,6010,Kriens,4 ½,106 m²,1990
Baselstrasse 22,6003,Luzern,2,67 m²,1410
Spannortstrasse 14,6003,Luzern,4 ½,104 m²,1950
Adligenstrasse 7,6020,Emmenbrücke,3 ½,69 m²,1480
Gärtnerweg 2,6010,Kriens,3,74 m²,1595
Am Mattenhof 14,6010,Kriens,3 ½,86 m²,2190
Am Mattenhof 14,6010,Kriens,2 ½,69 m²,1825
Baselstrasse 27,6003,Luzern,3,60 m²,1350
Sagenmattstrasse 28,6003,Luzern,4 ½,85 m²,1960
Ruopigenstrasse 8,6015,Luzern,1 ½,46 m²,1075
Villastr. 12,6010,Kriens,2 ½,61 m²,1360
Schlösslihalde 31A,6006,Luzern,2 ½,66 m²,1790
Maihofstr. 68A,6006,Luzern,3 ½,81 m²,1670
Bundesplatz 4,6003,Luzern,3,90 m²,1880
Seehof 7,6004,Luzern,1 ½,32 m²,1455
Langensandstrasse 82,6005,Luzern,2,43 m²,1150
Ebrütistrasse 1,6043,Adligenswil,2 ½,,1400
Würzenbachhalde 7,6006,Luzern,3 ½,79 m²,1710
Bernstrasse 57 b,6003,Luzern,3,58 m²,1510
Sagenmattstrasse 20a,6003,Luzern,3,59 m²,1450
Houelbachstr. 7,6010,Kriens,4 ½,102 m²,1990
Gibraltarstrasse 13,6003,Luzern,1,,1100
Blattenmoosstrasse 2,6014,Luzern,3,50 m²,1540
Blattenmoosstrasse 2,6014,Luzern,1,,700
Winkelriedstrasse 56,6003,Luzern,3 ½,76 m²,1940
Neustadtstr. 8c,6003,Luzern,3 ½,71 m²,1710
,6010,Kriens,1 ½,85 m²,1950
Sagenmattstrasse 20,6003,Luzern,3 ½,106 m²,1780
Seefeldstrasse 3,6006,Luzern,4 ½,140 m²,2645
Liebenauweg 6,6006,Luzern,3 ½,81 m²,2000
Papiermühleweg 3,6048,Horw,3 ½,,1430
Dammstrasse 17,6003,Luzern,1,,1100
Dammstrasse 17,6003,Luzern,2,,1250
Schützenmatte B 11,6362,Stansstad,3 ½,92 m²,1760
Gärtnerweg 7,6010,Kriens,3 ½,83 m²,1654
Sagenmattstrasse 26,6003,Luzern,4 ½,80 m²,1470
Feldmühlestr. 18,6010,Kriens,4,70 m²,1520
Mühlematt  8,6020,Emmenbrücke,4,72 m²,1470
Reussmatt 3,6032,Emmen,4 ½,,1470
Dammstrasse 17,6003,Luzern,3,80 m²,1500
Baselstrasse 63,6003,Luzern,4,70 m²,1400
Bernstrasse 57 a,6003,Luzern,4 ½,84 m²,1620
Seehof 7,6004,Luzern,1 ½,31 m²,1435
Eschenweg 14,6030,Ebikon,4 ½,,1610
Sagenmattrain 3,6003,Luzern,4,,1570
Am Mattenhof 14,6010,Kriens,2 ½,69 m²,1815
Bernstrasse 9,6003,Luzern,2 ½,40 m²,1530
Bernstrasse 3,6003,Luzern,2 ½,42 m²,1660
Sagenmattrain 3,6003,Luzern,4,64 m²,1590
Längweiherstr. 22,6014,Luzern,3 ½,75 m²,1580
Bernstrasse 61,6003,Luzern,3,85 m²,1520
Brandgässli 9,6004,Luzern,3 ½,60 m²,6490
Brandgässli 9,6004,Luzern,3 ½,75 m²,5490
Brandgässli 9,6004,Luzern,3 ½,75 m²,5690
Brandgässli 9,6004,Luzern,3 ½,73 m²,5490
Brandgässli 9,6004,Luzern,2,47 m²,5490
Brandgässli 9,6004,Luzern,1 ½,43 m²,5090
Brandgässli 9,6004,Luzern,2,38 m²,5190
Brandgässli 9,6004,Luzern,1,22 m²,4490
Brandgässli 9,6004,Luzern,1 ½,36 m²,4990
Brandgässli 9,6004,Luzern,1,19 m²,4890
Tribschenstrasse 24,6003,Luzern,1,15 m²,1090
Zihlmattweg 44,6005,Luzern,2 ½,43 m²,1690
Zihlmatweg 44,6005,Luzern,1 ½,31 m²,1290
Zihlmattweg 44,6005,Luzern,1,25 m²,1150
Neustadtstrasse 16,6003,Lucerne,,19 m²,1753
Neustadtstrasse 16,6003,Lucerne,,13 m²,1546
Neustadtstrasse 16,6003,Lucerne,,12 m²,1235
Schlimpergstrasse 10,8307,Effretikon,4,86 m²,1724
Waldeggweg 7A,8400,Winterthur,4,,1850
,8307,Effretikon,3,62 m²,1325
Aeckerwiesenstr. 24,8400,Winterthur,3 ½,61 m²,1695
,8306,Brüttisellen,3,60 m²,1430
Zypressenstrasse 20,8408,Winterthur,3 ½,68 m²,1490
Hegistr. 41b,8404,Winterthur,3 ½,93 m²,1995
Bleichestrasse 21a,8400,Winterthur,3 ½,65 m²,1565
Grosswiesenstr. 54,8422,Pfungen,4 ½,90 m²,1840
Grosswiesenstr. 57,8422,Pfungen,2 ½,60 m²,1370
,8308,Illnau,2 ½,100 m²,800
Pfaffenwiesenstrasse 52,8404,Winterthur,3 ½,70 m²,1505
Obere Schöntalstrasse 42,8406,Winterthur,3 ½,91 m²,2050
Blutzwis 10,8604,Kindhausen,5 ½,120 m²,2146
Am Dorfbach 21,8308,Illnau,4 ½,111 m²,2135
Zypressenstrasse 22,8408,Winterthur,3,56 m²,600
Im Gassacher 7,8307,Effretikon,4 ½,97 m²,2030
Sulzerallee 59,8404,Winterthur,3 ½,98 m²,2305
Sennhofweg 114,8482,Sennhof,4,80 m²,1550
Rosentalstrasse 72,8400,Winterthur,3 ½,66 m²,1810
Rechweg 14,8600,Dübendorf,2 ½,88 m²,3210
Bühlwiesenstrasse,8309,Nürensdorf,4 ½,110 m²,2157
Giessenstrasse 15,8600,Dübendorf,3 ½,99 m²,2370
Dürrenrainstrasse 7,8422,Pfungen,2 ½,64 m²,1590
Schulstrasse 7,8307,Effretikon,3 ½,70 m²,1595
Lindenstrasse 7,8400,Winterthur,4 ½,,2190
Tellstrasse 46,8400,Winterthur,3 ½,69 m²,1610
Auenring 16,8303,Bassersdorf,3,66 m²,1650
Bahnhofstrasse 21,8422,Pfungen,2 ½,64 m²,1545
Bahnhofstrasse 21,8422,Pfungen,2 ½,60 m²,1490
Bahnhofstrasse 21,8422,Pfungen,2 ½,60 m²,1590
Vogelbuckstrasse 32,8307,Effretikon,3,67 m²,1560
Rechweg 14,8600,Dübendorf,4 ½,95 m²,2990
Waltensteinerstrasse 3a,8418,Schlatt,3 ½,100 m²,2150
Oberer Graben 50,8400,Winterthur,4 ½,90 m²,2600
Hörnlistrasse 83,8400,Winterthur,3 ½,107 m²,2800
Zürcherstrasse 62a,8406,Winterthur,1 ½,50 m²,1260
Riedweg 24,8600,Duebendorf,4 ½,120 m²,3684
,8400,Winterthur,2,80 m²,1950
Wülflingerstrasse 172,8408,Winterthur,2 ½,59 m²,1720
,8405,Winterthur,5,137 m²,2260
,8472,Seuzach,3 ½,84 m²,1835
,8458,Dorf,1 ½,,875
Bürglistrasse 9,8400,Winterthur,3,,1575
Magazingasse 2,8400,Winterthur,2 ½,49 m²,1535
Gerenhalde 16,8317,Tagelswangen,3 ½,97 m²,2280
Wässerwiesenstr. 81c,8408,Winterthur,3 ½,93 m²,2030
Rychenbergstrasse 59d,8400,Winterthur,3 ½,90 m²,2030
Krummackerstrasse 15,8406,Winterthur,3,57 m²,1370
oberebriggerstrasse,8406,winterthur,1,30 m²,1100
Wallrütistrasse 78,8404,Winterthur,3,60 m²,1371
Grenzstrasse 7,8406,Winterthur,4 ½,,2450
Stationsstrasse 7,8406,Winterthur,3 ½,,1658
Heiniweg 16,8404,Winterthur,3 ½,77 m²,1555
Moosburgstrasse 27,8370,Effretikon,3,70 m²,1693
Seuzacherstr. 13b,8400,Winterthur,3 ½,95 m²,2490
Hofwiesenweg 2,8405,Winterthur,2,53 m²,1395
Bleichestrasse 21a,8400,Winterthur,1,36 m²,1000
Hofwiesenstrasse 5,8305,Dietlikon,2 ½,54 m²,1730
Guggenbühlstrasse 10,8404,Winterthur,3,58 m²,1435
Julius Maggistrasse 65,8310,Kemptthal,4 ½,111 m²,2170
Unt. Schöntalstrasse 9,8406,Winterthur,2 ½,55 m²,1270
Unt. Schöntalstrasse 3,8406,Winterthur,3,61 m²,1430
,8472,Seuzach,5 ½,130 m²,2850
Heiniweg 16,8404,Winterthur,3 ½,77 m²,1525
Allmannstrasse 16,8400,Winterthur,2 ½,66 m²,1790
Turmstrasse 72,8400,Winterthur,2 ½,40 m²,1350
,8542,Wiesendangen,3 ½,81 m²,1980
Holzlegistrasse,8408,Winterthur,3,,1498
Wülflingerstrasse 324,8408,Winterthur,4,,1530
Pflanzschulstrasse 37,8400,Winterthur,4 ½,126 m²,2840
Illnauerstrasse 35,8307,Effretikon,3 ½,79 m²,1640
Schmittenackerstr. 5,8309,Nürensdorf,4 ½,88 m²,1852
Bahnhofstrasse 55,8600,Dübendorf,3,67 m²,1590
Neuwiesenstrasse 10,8400,Winterthur,,,1290
Stadlerstrasse 152,8404,Winterthur,4 ½,98 m²,1970
Alte Winterthurerstrasse 48,8309,Nürensdorf,3 ½,98 m²,2125
Weststr. 131,8408,Winterthur,3 ½,82 m²,2010
Rebenstrasse 2,8307,Effretikon,1 ½,35 m²,887
Gemeindehausstrasse 20,8542,Wiesendangen,2 ½,55 m²,1540
,8305,Dietlikon,1 ½,32 m²,1120
Feldstrasse 11,8400,Winterthur,3 ½,64 m²,1580
Wieshofstrasse 80,8408,Winterthur,3 ½,80 m²,1470
Lindenstraße 16,8307,Effretikon,1,30 m²,910
Gottfried Keller-Strasse 77,8400,Winterthur,3 ½,72 m²,1635
Unterwiesenstrasse 4,8408,Winterthur,3,66 m²,1585
Talgartenstrasse 8,8308,Illnau,3 ½,94 m²,2230
Zürcherstrasse 62a,8406,Winterthur,3 ½,110 m²,2200
Riedhofstrasse 58,8408,Winterthur,2 ½,63 m²,1720
Hofwisenstr. 4,8317,Tagelswangen,3 ½,111 m²,2180
Reutlingerstr. 15,8404,Winterthur,4 ½,94 m²,1900
Euelstr. 66,8408,Winterthur,3 ½,114 m²,2244
St. Gallerstrasse 50,8400,Winterthur,2 ½,72 m²,2040
,8317,Tagelswangen,1 ½,40 m²,935
Giessenstrasse 1,8600,Dübendorf,3 ½,102 m²,2550
Illnauerstrasse 17,8307,Effretikon,2 ½,73 m²,1600
Im Grund 15,8442,Hettlingen,3 ½,123 m²,1870
Eichgutstr. 2,8400,Winterthur,5 ½,143 m²,3450
Rümikerstrasse 36,8409,Winterthur,4 ½,115 m²,2500
Wartstr. 26,8400,Winterthur,1,31 m²,1250
Schlosshofstr. 64,8400,Winterthur,3 ½,91 m²,2150
Lindbergstrasse 20,8404,Winterthur,3,56 m²,1490
Hofwisenstr. 4,8317,Tagelswangen,3 ½,111 m²,2210
Zelgliweg 3,8602,Wangen,2,70 m²,1680
Müllerhölzlistrasse 2,8604,Volketswil-Kindhausen,2 ½,67 m²,1580
Werkstrasse,8400,Winterthur,3,61 m²,1598
,8404,Oberwinterthur,3,75 m²,1000
,8307,Effretikon,2 ½,,1370
Überlandstrasse 220,8600,Dübendorf,4,,1750
Holzlegistr. 15a,8408,Winterthur,3 ½,85 m²,1809
Dättnauerstr. 147,8406,Winterthur,5 ½,122 m²,2680
Eichliackerstrasse 23,8406,Winterthur,2 ½,75 m²,1850
Seuzachstr. 8,8413,Neftenbach,3 ½,84 m²,1699
Baderstrasse 21,8400,Winterthur,3 ½,,1890
Sulzerallee 59,8404,Winterhur,3 ½,98 m²,2350
Poststrasse 1,8406,Winterthur,2 ½,53 m²,1670
Schlosstalstrasse,8406,Winterthur,3 ½,60 m²,1670
Pionierstr. 18,8400,Winterthur,4 ½,98 m²,2230
Hulfteggstrasse 14,8400,Winterthur,3 ½,90 m²,1690
Oberfeldstrasse 93,8408,Winterthur,3,60 m²,1518
Wiesentalweg 4,8542,Wiesendangen,3 ½,,2400
Brandrietstrasse 2,8307,Effretikon,2 ½,78 m²,1850
Römerstrasse,8404,Winterthur,4,90 m²,1860
Guggenbühlstrasse 28,8404,Winterthur,3,58 m²,1445
Giessenstrasse 3,8600,Dübendorf,3 ½,94 m²,2590
Am Giessenpark 9,8600,Dübendorf,2 ½,65 m²,1950
Sulzer-Allee 71,8404,Winterthur,2 ½,72 m²,1810
Else-Züblin-Str. 74,8404,Winterthur,3 ½,100 m²,2140
Feldstr. 49,8400,Winterthur,2 ½,72 m²,1470
,8406,Winterthur,3 ½,,2110
Bahnhofstrasse 21,8422,Pfungen,1 ½,56 m²,1785
Am Eulachpark 15,8404,Winterthur,3 ½,101 m²,2280
Am Eulachpark 13,8404,Winterthur,4 ½,148 m²,2610
Vogelbuckstr. 32,8307,Effretikon,3,67 m²,1560
Schaffhauserstrasse 56,8400,Winterthur,1 ½,70 m²,1370
Kanzleistrasse,8405,Winterthur,3,,1560
,8307,Effretikon,3,67 m²,1560
Klotenerstrasse 28,8303,Bassersdorf,1,30 m²,1550
Im Grund 6,8442,Hettlingen,3 ½,83 m²,1745
Zürcherstrasse 30,8400,Winterthur,3,50 m²,1590
Oberseenerstrasse 16,8405,Winterthur,3,63 m²,1640
Obere Schöntalstrasse 44,8406,Winterthur,4 ½,107 m²,2420
Feldstr. 49,8400,Winterthur,2,60 m²,1375
Stadlerstrasse 35,8472,Seuzach,4 ½,100 m²,2120
Rössligasse 10,8405,Winterthur,3 ½,80 m²,1850
Im Wattbuck 3,8307,Effretikon,2 ½,66 m²,1565
Lindenstrasse 9,8307,Effretikon,3 ½,87 m²,1920
Dorfstrasse 8b,8483,Kollbrunn,3 ½,98 m²,1940
Dorfstrasse 8b,8483,Kollbrunn,2 ½,63 m²,1460
Bisikonerstrasse 9,8308,Illnau,4,80 m²,1798
Emil Klöti-Str. 2,8406,Winterthur,3 ½,88 m²,1895
Konradstr. 3,8400,Winterthur,3,53 m²,1423
Schulhausstrasse 8,8489,Wildberg,4 ½,125 m²,2100
,8312,Winterberg,5 ½,127 m²,2800
Hulfteggstr. 23,8400,Winterthur,4,75 m²,1500
Ursulaweg 33,8404,Winterthur,3 ½,79 m²,1560
Else-Züblin-Strasse 85c,8404,Winterthur,1,115 m²,2250
Holzlegistr. 6,8408,Winterthur,3,61 m²,1435
Bietenholzstrasse 4,8307,Effretikon,4,85 m²,1960
Rütlistrasse 18,8307,Effretikon,3,66 m²,1570
Kornweg 2,8405,Winterthur,4,,1690
Lägernstrasse 2,8803,Bassersdorf,2 ½,55 m²,1500
Ida-Sträulistr. 49,8404,Winterthur,3 ½,83 m²,2050
Bäumlistrasse 3,8404,Winterthur,4 ½,95 m²,3130
Grosswiesenstr. 58,8422,Pfungen,3 ½,74 m²,1575
Walkestrasse 16,8400,Winterthur,3,65 m²,1650
Aspstrasse 5c,8472,Seuzach,2 ½,85 m²,2015
Illnauerstrasse 20,8307,Effretikon,3 ½,70 m²,1550
Vogelsangstrasse 2,8307,Effretikon,2,49 m²,1480
Quellenstrasse 8,8307,Effretikon,2 ½,58 m²,1367
Wallrütistrasse 113,8404,Winterthur,4,,1755
,8462,Pfungen,3 ½,,1500
Breitestrasse 3,8545,Sulz-Rickenbach,3 ½,80 m²,1870
Reutlingerstr. 15,8404,Winterthur,1 ½,30 m²,960
,8413,Neftenbach,4 ½,20 m²,1000
Sulzer-Allee 81,8404,Winterthur,2 ½,68 m²,1860
Else-Züblin-Str. 70,8404,Winterthur,2 ½,67 m²,1810
Rebenstrasse 2,8307,Effretikon,1 ½,,990
Schönaustrasse 4,8400,Winterthur,2 ½,52 m²,1200
,8406,Winterthur,4 ½,,1950
St. Gallerstrasse 44,8400,Winterthur,3 ½,85 m²,2430
Else-Züblin-Strasse 85a,8404,Winterthur,1,90 m²,2090
Dorfstrasse 49,8546,Kefikon,2 ½,60 m²,1790
Lindbergstrasse 20,8404,Winterthur,4,71 m²,1700
Dorfstrasse 38,8310,Grafstal,2 ½,57 m²,1700
Unterwiesenstr. 10,8408,Winterthur,4 ½,88 m²,1863
Bolsternbuckstrasse 15,8483,KOLLBRUNN,3 ½,60 m²,1400
Feldstr. 49,8400,Winterthur,1 ½,40 m²,1135
Lindbergstrasse 20,8404,Winterthur,3 ½,59 m²,1500
Seuzacherstr. 11b,8400,Winterthur,3 ½,88 m²,2370
Seuzacherstr. 7a,8400,Winterthur,3 ½,98 m²,2520
Gutstrasse 13,8400,Winterthur,1,39 m²,1245
,8444,Henggart,4 ½,,1990
Vogelsangstrasse 2,8307,Effretikon,2,49 m²,1530
Schulgasse 3,8000,Winterthur,1,13 m²,910
Zürcherstrasse 157,8406,Winterthur,2,46 m²,1400
Stadlerstrasse 158,8404,Winterthur,3 ½,79 m²,1729
Stiegweg 14B,8303,Bassersdorf,4 ½,120 m²,2400
Langgasse 29,8400,Winterthur,4,72 m²,1840
Römertorstrasse 2,8404,Winterthur,3 ½,84 m²,2150
Lokstadt,8400,Winterthur,2 ½,,
Lokstadt,8400,Winterthur,4 ½,,
Lokstadt,8400,Winterthur,3 ½,,
Rikonerstrasse 9,8307,Effretikon,3 ½,74 m²,1515
St. Gallerstrasse 46,8400,Winterthur,3 ½,85 m²,2390
Zürcherstrasse 145,8406,Winterthur,1 ½,37 m²,1250
Maienstrasse 2,8406,Winterthur,3 ½,73 m²,1650
Schmittenackerstr. 9,8309,Nürensdorf,3 ½,79 m²,1715
Grosswiesenstr. 55,8422,Pfungen,3 ½,90 m²,1640
Else-Züblin-Str. 66,8404,Winterthur,1,73 m²,1710
Wülflingerstrasse 349,8408,Winterthur,3 ½,82 m²,1704
Im Wattbuck 1,8307,Effretikon,2 ½,71 m²,1435
Sulzerallee 80 - 88,8409,Winterthur,3 ½,92 m²,2220
Sulzer-Allee 71,8404,Winterthur,2 ½,85 m²,
Brunnenwiesenstrasse 8,8305,Dietlikon,4 ½,82 m²,2255
Feldstrasse 16,8400,Winterthur,1 ½,159 m²,3430
Else-Züblin-Str. 72,8404,Winterthur,3 ½,105 m²,2200
Zücherstrasse 143,8406,Winterthur,1 ½,36 m²,1990
Tössfeldstrasse 67 b,8406,Winterthur,2 ½,45 m²,2250
St. Gallerstrasse 60,8352,Elsau,1 ½,22 m²,1550
Bäckerstrasse 12,8400,Winterthur,1 ½,35 m²,1950
Kanzleistrasse 57,8405,Winterthur,1 ½,46 m²,2100
Neustadtgasse 29,8400,Winterthur,1,16 m²,1100
Stadelhoferstrasse 28,8001,Zürich,6,193 m²,15900
Wehrenbachhalde 42,8053,Zürich,5 ½,205 m²,7225
Neunbrunnenstrasse 38,8050,Zürich,3 ½,126 m²,6385
Bellariastrasse 36,8002,Zurich,3,86 m²,6325
Kreuzstrasse 64,8008,Zürich,3 ½,125 m²,6290
Staffelstrasse 13,8045,Zürich,3 ½,110 m²,6090
,8702,Zollikon,4 ½,115 m²,5800
Uhlandstrasse 6,8037,Zürich,3 ½,,5780
Seestrasse,8802,Kilchberg,5 ½,140 m²,5700
Schwabachstrasse 46,8706,Feldmeilen,4 ½,180 m²,5550
Uhlandstrasse 6,8037,Zürich,3 ½,69 m²,5330
Kurhausstrasse 2,8703,Erlenbach,4 ½,159 m²,5299
Pflanzschulstrasse 95,8004,Zürich,3 ½,86 m²,5190
Cramerstrasse 2-6,8004,Zurich,3,69 m²,5174
Wolframplatz 1,8045,Zurich,2,70 m²,5164
Bellariastrasse 36,8002,Zurich,2,63 m²,5164
Uhlandstrasse 6,8037,Zürich,2 ½,76 m²,5080
Ottikerstrasse 11,8006,Zürich,4,125 m²,4990
Buchzelgstrasse 52,8053,Zürich,4 ½,115 m²,4986
Scheideggstrasse 79,8002,Zurich,2,60 m²,4977
Gerechtigkeitsgasse 8,8001,Zurich,3,53 m²,4967
Rieterstrasse 35,8002,Zürich,4 ½,105 m²,4960
,8053,Zürich,6,150 m²,4900
Neumünsterstrasse 32,8008,Zürich,2 ½,72 m²,4840
Scheuchzerstrasse 72,8006,Zürich,3 ½,115 m²,4800
Oberdorfstrasse 4,8910,Affoltern,6 ½,194 m²,4760
Cramerstrasse 8-12,8004,Zurich,3,54 m²,4749
Rieterstrasse 35,8002,Zürich,4 ½,90 m²,4740
Wolframplatz 1,8045,Zurich,3,57 m²,4718
Etzelstrasse 6,8038,Zürich,3 ½,75 m²,4710
Spindelstrasse 12,8041,Zürich,3 ½,95 m²,4680
,8004,Zürich,3 ½,90 m²,4550
Niederdorfstrasse,8001,zurich,2 ½,110 m²,4500
Altstetten,8048,Zurich,4 ½,135 m²,4490
Schmidgasse 4,8001,Zürich,3 ½,60 m²,4490
Niederdorfstrasse 41,8001,Zürich,1 ½,30 m²,4490
Niederdorfstrasse 61,8001,Zürich,2 ½,104 m²,4480
,8700,Küsnacht,3 ½,120 m²,4470
Döltschiweg 23,8055,Zürich,4 ½,123 m²,4470
Badenerstrasse 595,8048,Zürich,4,105 m²,4390
Dörflistrasse 112,8050,Zürich,3 ½,69 m²,4380
Heuelsteig 3&7,8032,Zürich,4 ½,122 m²,4370
Gerechtigkeitsgasse 8,8001,Zurich,2,47 m²,4345
Zurlindenstrasse 50,8003,Zürich,2 ½,57 m²,4310
Neptunstrasse 57,8032,Zürich,2 ½,59 m²,4280
Binzmühlestr. 48,8050,Zurich,3,80 m²,4251
Schlossbergstrasse 42,8702,Zollikon,2 ½,74 m²,4150
Klosbachstrasse 44,8032,Zürich,2 ½,54 m²,4150
Neptunstrasse 57,8032,Zürich,2 ½,59 m²,4150
Hardstrasse 236/238,8005,Zurich,3,80 m²,4127
Freyastrasse 8,8004,Zurich,1,70 m²,4127
Cramerstrasse 2-6,8004,Zurich,3,47 m²,4127
,8803,Rüschlikon,4 ½,120 m²,4000
Kirchenfeld 55,8052,Zürich,5 ½,,3980
Oberdorfstrasse 24,8117,Fällanden,3 ½,120 m²,3950
,8126,Zumikon,3 ½,83 m²,3900
Leimbachstrasse 96,8041,Zürich,5,118 m²,3870
Käferholzstrasse 54,8057,Zürich,4 ½,111 m²,3835
Dörflistrasse 112,8050,Zürich,3 ½,69 m²,3780
Dörflistrasse 112,8050,Zürich,3 ½,69 m²,3780
Käferholzstrasse 42,8057,Zürich,4 ½,114 m²,3765
Winzerhalde 101,8049,Zürich,4 ½,131 m²,3760
Hardturmstrasse 90,8005,Zurich,4 ½,116 m²,3750
Albulastrasse 42,8048,Zürich,3 ½,91 m²,3750
Feldmoosstrasse 4,8800,Thalwil,3 ½,94 m²,3700
Dörflistrasse 112,8050,Zürich,3 ½,69 m²,3700
Dörflistrasse 112,8050,Zürich,3 ½,69 m²,3700
Riedweg 24,8600,Duebendorf,4 ½,120 m²,3684
Binzmühlestr. 46,8050,Zurich,2,55 m²,3619
Hofwiesenstrasse 175,8057,Zurich,3 ½,102 m²,3600
,8008,Zürich,3 ½,80 m²,3600
Pfingstweidstrasse 106a,8005,Zürich,2 ½,104 m²,3550
Fliederweg 3d,8302,Kloten,4,130 m²,3510
Säntisstrasse,8008,Zürich,2 ½,65 m²,3500
Sihl-Terrassen,8041,Zürich,2 ½,70 m²,"Manegg,"
Badenerstrasse 434,8004,Zürich,1,80 m²,3500
Baslerstrasse 60,8048,Zürich,1,29 m²,3500
Rebwiesstr. 58,8702,Zollikon,2 ½,102 m²,3490
Stauffacherstrasse 129,8004,Zürich,3,54 m²,3490
Im Glockenacker 13,8053,Zürich,4 ½,120 m²,3485
Winzerhalde 103,8049,Zürich,3 ½,107 m²,3485
Regensbergstrasse 30,8050,Zürich-Oerlikon,3 ½,86 m²,3470
Eggbühlstrasse 1,8050,Zürich,4 ½,98 m²,3458
Leimbachstrasse 96,8041,Zürich,4,107 m²,3450
Eggbühlstrasse 18,8050,Zürich,4 ½,110 m²,3435
Pumpwerkstrasse 40,8105,Regensdorf,6 ½,280 m²,3400
Langgrütstrasse 185,8047,Zürich,4 ½,147 m²,3400
