index_scraped,Strasse,Nummer,Letter,Postleitzahl,Ort,Anzahl Zimmer,Flaeche m2,Preis CHF,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
992_immo,alpenstr.,23,,3006,bern,1.0,25,1650,18851,15242,3609,8814,10037,923,956,907,782,756,1161,1349,1518,1376,1332,1365,1408,1162,967,940,793,528,360,268,9414,6760,843,1729,0,91,13
418_flat,alpenstr.,19,,3052,zollikofen,3.5,114,1950,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
485_flat,alpenstr.,107,,3052,zollikofen,3.0,69,1540,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
1627_flat,altedorfstr.,21,,8704,herrliberg,3.0,,1700,6560,5043,1517,3175,3385,309,334,336,352,341,262,257,370,445,504,583,606,463,331,330,323,201,129,84,2682,2994,308,557,0,14,5
1475_flat,alteforchstr.,19,,8126,zumikon,3.5,87,2390,5587,4169,1418,2660,2927,235,323,352,330,236,181,203,322,364,451,483,417,325,280,303,333,202,160,87,2201,2563,323,481,0,17,2
1660_flat,altegfennstr.,27,,8600,duebendorf,1.5,45,1395,27549,17433,10116,13869,13680,1407,1268,1241,1146,1539,2300,2673,2355,2213,2060,2015,1752,1290,1032,998,868,728,447,217,13110,10753,1122,2458,0,90,16
837_flat,altegghalde,1,,6045,meggen,4.5,,3490,7551,6265,1286,3673,3878,283,351,352,336,317,303,322,422,461,533,601,670,569,507,490,434,291,185,124,2904,3486,437,699,0,23,2
1615_flat,altehedingerstr.,31,,8910,affoltern,3.5,,1750,11002,7711,3291,5498,5504,638,506,523,558,541,807,823,900,703,676,812,802,619,555,496,437,310,201,95,4720,4745,545,953,0,34,5
1390_flat,altelandstr.,33,,8700,kuesnacht,1.5,82,3190,14012,10117,3895,6662,7350,721,777,813,654,540,579,748,986,992,1112,1083,1012,825,650,687,704,547,339,243,6050,5977,764,1165,1,45,10
1618_flat,altelandstr.,41,,8810,horgen,3.0,64,1730,20547,13991,6556,10067,10480,1119,1123,1076,918,986,1063,1380,1662,1668,1576,1635,1419,1096,914,939,817,578,383,195,8896,8946,948,1701,0,49,6
886_immo,altenbergstr.,80,,3013,bern,2.5,58,1690,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
832_immo,altenbergstr.,20,,3013,bern,5.0,,,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
857_immo,altenbergstr.,20,,3013,bern,4.0,,,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
826_immo,altenbergstr.,18,,3013,bern,3.5,,2390,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
1510_flat,alterzuerichweg,14,,8952,schlieren,4.5,100,2190,19827,10780,9047,10220,9607,1087,937,847,802,1230,1961,2147,1825,1570,1354,1283,1248,911,704,632,461,409,270,149,9330,8082,731,1561,2,97,22
1572_flat,alteurdorferstr.,14,,8903,birmensdorf,2.5,53,1880,6907,5145,1762,3440,3467,427,378,369,307,270,373,501,580,554,474,508,439,405,308,345,287,187,130,65,3029,3024,286,557,0,6,5
1521_flat,altewinterthurerstr.,48,,8309,nuerensdorf,3.5,98,2125,5638,4683,955,2812,2826,229,276,280,280,262,239,307,359,416,447,492,462,358,330,299,285,172,108,37,2248,2586,248,541,0,14,1
973_flat,althof,2,,6030,ebikon,3.0,,1500,13997,10821,3176,6945,7052,826,720,688,639,761,1010,1085,1009,940,845,970,1027,885,702,651,502,385,216,136,6034,6265,624,1033,1,32,7
795_flat,altikofenstr.,8,,3048,worblaufen,3.5,79,1536,1801,1381,420,910,891,90,60,78,61,110,132,141,120,134,104,116,132,107,120,114,76,66,32,8,759,797,84,156,0,5,0
1533_home,altkircherstr.,9,,4054,basel,1.0,30,880,18804,14238,4566,8709,10095,922,893,834,705,780,1113,1422,1368,1320,1228,1316,1446,1291,1037,951,849,574,473,282,8936,7006,938,1846,0,68,10
1409_immo,altkircherstr.,9,,4054,basel,1.0,27,790,18804,14238,4566,8709,10095,922,893,834,705,780,1113,1422,1368,1320,1228,1316,1446,1291,1037,951,849,574,473,282,8936,7006,938,1846,0,68,10
1579_immo,altrheinweg,88,,4057,basel,3.0,65,1325,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
1886_home,altrheinweg,44,,4057,basel,2.5,48,1450,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
1887_home,altrheinweg,44,,4057,basel,2.5,50,1450,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
755_home,altstetterstr.,291,,8047,zuerich,1.0,30,1500,20694,15204,5490,10199,10495,1401,1122,792,566,739,1515,2197,2197,1873,1454,1242,1096,924,802,849,658,574,424,269,11002,6850,890,1811,2,118,21
1095_home,altstetterstr.,196,,8048,zuerich,2.0,52,1740,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
786_home,altstetterstr.,198,,8048,zuerich,2.0,52,1820,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
935_home,altwiesenstr.,154,,8051,zuerich,3.0,61,1065,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
945_home,altwiesenstr.,91,,8051,zuerich,3.0,64,1773,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
948_home,altwiesenstr.,133,,8051,zuerich,3.0,63,1790,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
944_home,altwiesenstr.,95,,8051,zuerich,3.0,64,1727,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
1913_immo,ambachgraben,40,,4056,basel,1.0,24,440,20921,11730,9191,10331,10590,1049,925,823,733,1180,1826,2213,1935,1665,1400,1386,1407,1123,860,741,590,426,347,292,11195,6756,882,1995,1,83,8
1643_flat,ambalsberg,22,,8302,kloten,3.5,71,1585,20419,13487,6932,10480,9939,997,941,870,929,1198,1638,1763,1701,1632,1544,1504,1398,1080,808,750,657,516,329,164,9249,8156,842,2069,3,77,22
1481_flat,ambrunnenbaechli,26,,8125,zollikerberg,4.5,97,2357,5271,3832,1439,2511,2760,270,287,289,220,202,219,298,363,452,418,411,325,273,231,239,244,217,182,131,2357,2090,334,457,0,28,5
1404_flat,ambrunnenbaechli,20,,8125,zollikerberg,3.5,95,2985,5271,3832,1439,2511,2760,270,287,289,220,202,219,298,363,452,418,411,325,273,231,239,244,217,182,131,2357,2090,334,457,0,28,5
2559_home,ambuck,5,,8404,winterthur,1.5,36,1050,20348,14516,5832,10184,10164,1280,1153,1082,937,1106,1611,1861,1820,1552,1364,1236,1268,1040,815,788,634,429,243,129,9861,8067,702,1665,1,42,8
1074_flat,amdorfbach,21,,8308,illnau,4.5,111,2135,4595,3738,857,2305,2290,239,237,250,286,274,259,272,322,328,299,391,346,303,191,223,187,115,52,21,1983,2152,155,294,0,11,0
42_flat,amerbachstr.,43,,4057,basel,1.5,33,920,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
